,title,studio,domestic_gross,foreign_gross,year,id,production_budget,profitability
835,End of Watch,ORF,41000000.0,7100000.0,2012.0,29.0,15000000.0,33100000.0
1229,Kick-Ass 2,Uni.,28800000.0,32000000.0,2013.0,65.0,28000000.0,32800000.0
1227,Runner Runner,Fox,19300000.0,43400000.0,2013.0,53.0,30000000.0,32700000.0
1597,That Awkward Moment,Focus,26100000.0,14400000.0,2014.0,78.0,8000000.0,32500000.0
3170,12 Strong,WB,45800000.0,21600000.0,2018.0,64.0,35000000.0,32400000.0
1591,Earth to Echo,Rela.,38900000.0,6400000.0,2014.0,62.0,13000000.0,32300000.0
830,Silent Hill: Revelation 3D,ORF,17500000.0,34800000.0,2012.0,5.0,20000000.0,32300000.0
115,Machete,Fox,26600000.0,17500000.0,2010.0,18.0,12500000.0,31600000.0
104,Daybreakers,LGF,30100000.0,21300000.0,2010.0,67.0,20000000.0,31400000.0
3172,Mile 22,STX,36100000.0,30200000.0,2018.0,78.0,35000000.0,31300000.0
3155,Sherlock Gnomes,Par.,43200000.0,47100000.0,2018.0,54.0,59000000.0,31300000.0
452,50/50,Sum.,35000000.0,4200000.0,2011.0,73.0,8000000.0,31200000.0
816,Here Comes the Boom,Sony,45300000.0,27800000.0,2012.0,52.0,42000000.0,31100000.0
106,The Switch,Mira.,27800000.0,22100000.0,2010.0,39.0,19000000.0,30900000.0
455,Jumping the Broom,TriS,37300000.0,415000.0,2011.0,93.0,7000000.0,30715000.0
